,Kristen,,,,,Jinha,,,,,J,,,,,Rachel,,,,,Yini,,,,
Number,Relevant,User_Ideoloby,How,Obamacare_Att,How,Relevant,User_Ideoloby,How,Obamacare_Att,How,Relevant,User_Ideoloby,How,Obamacare_Att,How,Relevant,User_IdeoLoby,How,ObAmAcAre_Att,How,Relevant,User_Ideoloby,How,ObamaCare_Att,How
154,,,,,,,,,,,Y,C,bio,A,text,Y,C,bio,A,text,Y,C,bio,P,text
155,,,,,,,,,,,Y,U,,A,text,Y,U,,A,text,Y,U,bio,P,text
156,,,,,,,,,,,Y,C,bio,A,text,Y,C,bio,A,text,Y,C,bio,A,text
157,,,,,,,,,,,Y,L,bio,A,text,Y,C,link,A,text,Y,L,bio,P,text
158,,,,,,,,,,,Y,L,bio,N,text,Y,L,bio,P,text,Y,L,bio,U,text
159,,,,,,,,,,,Y,U,,N,text,Y,L,bio,N,text,N,,,,
160,,,,,,,,,,,Y,C,bio,A,text,Y,C,bio,A,text,Y,C,bio,A,text
161,,,,,,,,,,,Y,N,bio,N,text,Y,N,bio,N,text,Y,U,bio,A,text
162,,,,,,,,,,,Y,C,bio,A,hashtag,Y,C,bio,A,link,Y,C,bio,A,text
163,,,,,,,,,,,Y,N,,N,text,Y,N,bio,N,text,Y,N,bio,N,text
164,,,,,,,,,,,Y,C,bio,A,hashtag,Y,C,bio,A,link,Y,C,bio,A,text
165,,,,,,,,,,,Y,C,bio,A,text,Y,C,bio,A,text,Y,C,bio,A,text
166,,,,,,,,,,,Y,C,bio,A,text,Y,C,bio,A,text,Y,C,bio,A,text
167,,,,,,,,,,,Y,U,,U,,Y,U,,U,,Y,U,bio,U,text
168,,,,,,,,,,,Y,A,,A,,Y,U,,A,text,Y,U,bio,A,text
169,,,,,,,,,,,Y,L,bio,P,text,Y,L,bio,P,text,Y,L,bio,P,text
170,,,,,,,,,,,Y,N,,N,,Y,N,bio,N,link,Y,U,bio,N,text
171,,,,,,,,,,,Y,U,,U,text,Y,U,,U,,Y,C,bio,A,text
172,,,,,,,,,,,Y,N,,A,,Y,N,bio,N,text,Y,N,bio,N,text
173,,,,,,,,,,,Y,N,,A,,Y,C,text,A,text,Y,C,text,A,text
174,,,,,,,,,,,Y,C,bio,A,link,Y,C,bio,A,link,Y,C,bio,A,link
175,,,,,,,,,,,Y,L,bio,N,,Y,L,bio,N,text,Y,L,bio,?,text
176,,,,,,,,,,,Y,L,,P,link,Y,N,bio,N,text,Y,L,link,P,link
177,,,,,,,,,,,Y,C,,A,hashtag,Y,C,text,N,text,Y,C,bio,N,text
178,,,,,,,,,,,Y,N,bio,N,,Y,N,bio,N,text,Y,N,,N,text
179,,,,,,,,,,,Y,U,,P,,Y,U,,P,text,Y,L,text,U,text
180,,,,,,,,,,,Y,L,bio,P,,Y,U,,P,text,Y,L,bio,P,text
181,,,,,,,,,,,Y,C,bio,N,,Y,C,bio,U,,Y,C,bio,N,text
182,,,,,,,,,,,Y,C,bio,A,,Y,C,bio,A,text,Y,C,bio,A,text
183,,,,,,,,,,,Y,C,bio,A,,Y,C,bio,A,text,Y,C,bio,A,text
184,,,,,,,,,,,Y,N,,N,,Y,N,bio,N,text,Y,U,bio,N,text
185,,,,,,,,,,,Y,N,bio,N,,Y,N,bio,N,text,Y,U,bio,N,text
